"name","location","system","gispropnum","approx_date_closed","approx_date_reopened","editdate","status","district","closuretype","geometry","fac_type","duration_closed"
"Heckscher Plgd","62 St, Bet West & Center Drs","M010-CPA-0001","M010",2020-03-31,2020-06-21,2020-06-22,"Reopened","M-13","Completely Locked",c(-73.9772969678268, 40.7686265537265),"Playground",11.7142857142857
"Sol Lain Plgd","E. Broadway, Henry St., Gouverneur St.","M235-CPA-0001","M235",2020-03-31,2020-06-19,2020-06-19,"Reopened","M-03","Completely Locked",c(-73.9841384491156, 40.7141270325785),"Playground",11.4285714285714
"Crack Is Wack Playground","E. 127 St., 2 Ave., and Harlem River Drive",NA,"M208E",2020-03-31,2020-06-22,2020-06-22,"Reopened","M-11","Completely Locked",c(-73.9317732048977, 40.8043586737293),"Playground",11.8571428571429
"Diana Ross Plgd","81 St & Central Pk West","M010-CPA-0009","M010",2020-03-31,2020-06-21,2020-06-22,"Reopened","M-13","Completely Locked",c(-73.9709871311635, 40.7822609745131),"Playground",11.7142857142857
"El Shabazz Playground","Macdonough St. between Malcolm X Blvd. and Stuyvesant Ave.","B313-CPA-0001","B313",2020-03-31,2020-06-22,2020-06-23,"Reopened","B-03","Completely Locked",c(-73.9308534899053, 40.6828590107809),"Playground",11.8571428571429
"Challenge Playground","251 St. bet. 61 Ave. and 63 Ave.","Q346-CPA-0001","Q346",2020-03-31,2020-06-21,2020-06-21,"Reopened","Q-11","Partially Locked",c(-73.7280625427261, 40.7570961262938),"Playground",11.7142857142857
"Playground","164 St & Lithonia","Q024-CPA-0001","Q024",2020-03-31,2020-06-21,2020-06-21,"Reopened","Q-07","Completely Locked",c(-73.8031396572034, 40.7486743614552),"Playground",11.7142857142857
"Merriam Plgd (Lower)","Merriam & Ogden Aves, W 168 St, University","X153-CPA-0002","X153",2020-03-31,2020-06-21,2020-06-22,"Reopened","X-04","Completely Locked",c(-73.926198320847, 40.8392115545549),"Playground",11.7142857142857
"Mae Grant Playground","N/s E. 104 St., Madison Ave. and Park Ave.","M213-CPA-0001","M213",2020-03-31,2020-06-22,2020-06-22,"Reopened","M-11","Completely Locked",c(-73.9496235590597, 40.7924693082075),"Playground",11.8571428571429
"Harlem Lane Playground","Harlem River Dr., W. 151 St. To W. 154 St.","M141-CPA-0001","M141",2020-03-31,2020-06-21,2020-06-22,"Reopened","M-10","Partially Locked",c(-73.9347147647569, 40.8250950301934),"Playground",11.7142857142857
"Van Dyke Playground","Dumont Ave. between Powell St. and Mother Gaston Blvd.","B249-CPA-0001","B249",2020-03-31,2020-06-23,2020-06-24,"Reopened","B-16","Completely Locked",c(-73.9042682121939, 40.6646251898098),"Playground",12
"Garibaldi Playground","18 Ave. bet. 83 St. and 82 St.","B158-CPA-0001","B158",2020-03-31,2020-06-20,2020-06-22,"Reopened","B-11","Completely Locked",c(-74.0001184533611, 40.6089357353523),"Playground",11.5714285714286
"Coleman Playground","Cherry St, Pike St, Monroe St","M019-CPA-0001","M019",2020-03-31,2020-06-19,2020-06-19,"Reopened","M-03","Completely Locked",c(-73.9937732513848, 40.7108614761713),"Playground",11.4285714285714
"Remsen Playground","Remsen Ave. and Glenwood Rd.","B360-CPA-0001","B360",2020-03-31,2020-06-22,2020-06-22,"Reopened","B-18","Completely Locked",c(-73.9075718203052, 40.6420315068618),"Playground",11.8571428571429
"Classon Playground","Lafayette Ave. and Classon Ave.","B293-CPA-0001","B293",2020-03-31,2020-06-23,2020-06-24,"Reopened","B-02","Completely Locked",c(-73.9604643638219, 40.6892782040205),"Playground",12
"Starlight Park Playground","Sheridan Exwy, Bronx River, S/o E 174 St Bridge","X147A-CPA-0001","X147A",2020-03-31,2020-06-21,2020-06-22,"Reopened","X-14","Partially Locked",c(-73.8820320094127, 40.8343739893475),"Playground",11.7142857142857
"East Elmhurst Playground","100 St., 98 St. bet. 24 Ave. and 25 Ave.","Q373-CPA-0001","Q373",2020-03-31,2020-06-19,2020-06-19,"Reopened","Q-03","Partially Locked",c(-73.871636492796, 40.7657287245674),"Playground",11.4285714285714
"City Line Park","Atlantic Ave. bet. Fountain Ave. and N. Conduit Ave.","B141-CPA-0001","B141",2020-03-31,2020-06-20,2020-06-22,"Reopened","B-05","Completely Locked",c(-73.8740326179733, 40.6788862699322),"Playground",11.5714285714286
"Horseshoe Playground","E. 165 St. and Rogers Pl.","X014-CPA-0001","X014",2020-03-31,2020-06-21,2020-06-22,"Reopened","X-02","Completely Locked",c(-73.8977070284057, 40.8240679707461),"Playground",11.7142857142857
"Monsignor Mcgolrick Playground","Nassau Ave Bet Monitor St & Russell St","B114-CPA-0001","B114",2020-03-31,2020-06-21,2020-06-22,"Reopened","B-01","Completely Locked",c(-73.9435586598799, 40.7252651347408),"Playground",11.7142857142857
"Abyssinian Tot Lot","W. 139 St. bet. Adam C Powell Blvd. and Lenox Ave.","M303-CPA-0001","M303",2020-03-31,2020-06-25,2020-06-25,"Reopened","M-10","Completely Locked",c(-73.9409349785114, 40.8171385721753),"Playground",12.2857142857143
"Police Officer Nicholas Demutiis Park","Liberty Ave. bet. 101 St. and 102 St.","Q118-CPA-0001","Q118",2020-03-31,2020-06-21,2020-06-21,"Reopened","Q-10","Not Lockable",c(-73.8394556358225, 40.6816237534203),"Playground",11.7142857142857
"Zimmerman Playground","Britton St. bet. Olinville Ave. and Barker Ave.","X087-CPA-0001","X087",2020-03-31,2020-06-21,2020-06-22,"Reopened","X-11","Completely Locked",c(-73.8687394823477, 40.8661555357401),"Playground",11.7142857142857
"Brownsville Playground","Hegeman Ave., Linden Blvd. bet. Powell St. and Mother Gaston Blvd.","B270-CPA-0001","B270",2020-03-31,2020-06-20,2020-06-22,"Reopened","B-16","Completely Locked",c(-73.9015443224569, 40.6566600323653),"Playground",11.5714285714286
"Hamilton Metz Field","Albany Ave., E. New York Ave., Lefferts Ave.","B193-CPA-0001","B193",2020-03-31,2020-06-22,2020-06-22,"Reopened","B-09","Completely Locked",c(-73.9403487710369, 40.6627444557932),"Playground",11.8571428571429
"MacArthur Playground","E. 48 St. To E. 49 St., FDR","M256-CPA-0001","M256",2020-03-31,2020-06-21,2020-06-22,"Reopened","M-06","Completely Locked",c(-73.9651175392199, 40.752179794004),"Playground",11.7142857142857
"Rivington St Plgd","Rivington St","M105-CPA-0002","M105",2020-03-31,2020-06-19,2020-06-19,"Reopened","M-03","Completely Locked",c(-73.9917662038347, 40.7213347456204),"Playground",11.4285714285714
"St. Andrew's Playground","Atlantic Ave., Herkimer St., Kingston Ave., St Andrew's Pl.","B225-CPA-0001","B225",2020-03-31,2020-06-23,2020-06-24,"Reopened","B-03","Completely Locked",c(-73.9417046127034, 40.6789895730772),"Playground",12
"Heritage Field Playground","Northwest Corner Of Zone 2 Heritage Field","X030-CPA-0001","X030",2020-03-31,2020-06-21,2020-06-22,"Reopened","X-04","Completely Locked",c(-73.9278377953924, 40.8277437440982),"Playground",11.7142857142857
"Stop & Go Playground","W 175 St bet. Washington Av and Bathgate Av","X281-CPA-0001","X281",2020-03-31,2020-06-21,2020-06-22,"Reopened","X-06","Completely Locked",c(-73.89894991164, 40.8447746531064),"Playground",11.7142857142857
"Pinocchio Playground","74 St., 75 St. bet. Cooper Ave. and 78 Ave.","Q289-CPA-0001","Q289",2020-03-31,2020-06-21,2020-06-21,"Reopened","Q-05","Completely Locked",c(-73.8753648194856, 40.7057738004083),"Playground",11.7142857142857
"Rodney Playground South","Rodney St., S. 3 St. and S. 4 St.","B223PC-CPA-0001","B223PC",2020-03-31,2020-06-21,2020-06-22,"Reopened","B-01","Completely Locked",c(-73.9559009222596, 40.7098061844464),"Playground",11.7142857142857
"Arcilla Playground","E 164 St bet. Teller Av and Clay Av at Park Ave","X219-CPA-0001","X219",2020-03-31,2020-06-21,2020-06-22,"Reopened","X-04","Completely Locked",c(-73.9145306945456, 40.8272946122976),"Playground",11.7142857142857
"79 St Plgd","79 St & Shore Rd","B082-CPA-0002","B082",2020-03-31,2020-06-22,2020-06-22,"Reopened","B-10","Not Lockable",c(-74.0392085239642, 40.6317695141101),"Playground",11.8571428571429
"Dawson Playground","Rogers Pl. at Dawson St.","X164-CPA-0001","X164",2020-03-31,2020-06-21,2020-06-22,"Reopened","X-02","Partially Locked",c(-73.8983360501005, 40.8194488290983),"Playground",11.7142857142857
"Sheltering Arms Playground","W. 126 St. to W. 129 St., Amsterdam Ave. to Old Broadway","M190-CPA-0001","M190",2020-03-31,2020-06-21,2020-06-22,"Reopened","M-09","Completely Locked",c(-73.9558084992193, 40.8145840079115),"Playground",11.7142857142857
"Sobel Playground","Lee Ave., Division Ave., Roebling St.","B090-CPA-0001","B090",2020-03-31,2020-06-21,2020-06-22,"Reopened","B-01","Completely Locked",c(-73.9614525536838, 40.7073957403439),"Playground",11.7142857142857
"Old Hickory Playground","51 Ave. bet. Jackson Ave., Vernon Blvd. and 11 St.","QT06-CPA-0001","QT06",2020-03-31,2020-06-22,2020-06-22,"Reopened","Q-02","Completely Locked",c(-73.9535535198704, 40.7417530964746),"Playground",11.8571428571429
"Fermi Playground","Central Ave., Troutman St. and Starr St.","B334-CPA-0001","B334",2020-03-31,2020-06-22,2020-06-22,"Reopened","B-04","Completely Locked",c(-73.928477931289, 40.7003584547103),"Playground",11.8571428571429
"Callahan-Kelly Playground","Fulton St., Truxton St., bet. Eastern Pkwy. and Van Sinderen Ave.","B219-CPA-0001","B219",2020-03-31,2020-06-21,2020-06-22,"Reopened","B-16","Completely Locked",c(-73.9065410261717, 40.6783136181091),"Playground",11.7142857142857
"Utopia Playground","73 Ave., Jewel Ave. bet. Utopia Pkwy. and 179 St.","Q294-CPA-0001","Q294",2020-03-31,2020-06-21,2020-06-22,"Reopened","Q-08","Completely Locked",c(-73.7922005741275, 40.7307650558856),"Playground",11.7142857142857
"Bay Terrace Playground","23 Ave. bet. 212 St. and Bell Blvd.","Q399-CPA-0001","Q399",2020-03-31,2020-06-23,2020-06-23,"Reopened","Q-07","Partially Locked",c(-73.7773690627845, 40.7825213897023),"Playground",12
"Ciccarone Park","E 188 St bet. Arthur Av and Hughes Av","X102-CPA-0001","X102",2020-03-31,2020-06-21,2020-06-22,"Reopened","X-06","Completely Locked",c(-73.8866270341326, 40.8558201916988),"Playground",11.7142857142857
"Skyline Playground","Arnold St. to Prospect Ave. bet. Harvard Ave and Clyde Pl.","R123-CPA-0001","R123",2020-03-31,2020-06-22,2020-06-22,"Reopened","R-01","Completely Locked",c(-74.089800161181, 40.6391234099516),"Playground",11.8571428571429
"Fort Totten Playground","Murray Ave, Jarman Rd, Sylvester Ln, Abbot Rd","Q458-CPA-0001","Q458",2020-03-31,2020-06-21,2020-06-21,"Reopened","Q-07A","Partially Locked",c(-73.7780038632922, 40.7940574166646),"Playground",11.7142857142857
"Playground 115","115 St. bet. 14 Ave. and 14 Rd.","Q136-CPA-0001","Q136",2020-03-31,2020-06-22,2020-06-22,"Reopened","Q-07","Completely Locked",c(-73.8526465156158, 40.7851963758886),"Playground",11.8571428571429
"Randall Playground","Randall Ave. bet. Olmstead Ave. and Castle Hill Ave.","X203-CPA-0001","X203",2020-03-31,2020-06-21,2020-06-22,"Reopened","X-09","Completely Locked",c(-73.8494957236644, 40.8191554758568),"Playground",11.7142857142857
"Rochdale Park Playground","Nr Guy Brewer Blvd & 134 Ave","Q413-CPA-0001","Q413",2020-03-31,2020-06-21,2020-06-21,"Reopened","Q-12","Partially Locked",c(-73.7753193519953, 40.6741779997591),"Playground",11.7142857142857
"Castle Hill Playground","Castle Hill Av, Parker St","X177-CPA-0001","X177",2020-03-31,2020-06-21,2020-06-22,"Reopened","X-09","Completely Locked",c(-73.8529871026999, 40.8389096152325),"Playground",11.7142857142857
"Tremont Plgd (2)","E 175 St & Arthur Ave","X010A-CPA-0002","X010A",2020-03-31,2020-06-21,2020-06-22,"Reopened","X-06","Completely Locked",c(-73.8945681785893, 40.8444358451545),"Playground",11.7142857142857
"Cleopatra Playground","Anthony Av bet. Prospect Pl and Ittner Pl","X258-CPA-0001","X258",2020-03-31,2020-06-21,2020-06-22,"Reopened","X-05","Completely Locked",c(-73.9042171996137, 40.8455647588163),"Playground",11.7142857142857
"227th Street Playground","E 227 St, Bronx River Parkway","X004-CPA-0001","X004",2020-03-31,2020-06-21,2020-06-22,"Reopened","X-14","Completely Locked",c(-73.8642049573554, 40.8907768266151),"Playground",11.7142857142857
"World's Fair Playground","62nd Drive And Grand Central Pkwy Service Rd","Q099-CPA-0001","Q099",2020-03-31,NA,2020-06-22,"Reopened","Q-06","Completely Locked",c(-73.8456877249287, 40.7367412932987),"Playground",NA
"Kolbert Playground","Ave. L bet. E. 17 St. and E. 18 St.","B150-CPA-0001","B150",2020-03-31,2020-06-22,2020-06-23,"Reopened","B-14","Completely Locked",c(-73.9582304849198, 40.6202173632283),"Playground",11.8571428571429
"Andrews Grove","49 Ave. bet. 5 St. and Vernon Blvd.","Q045-CPA-0001","Q045",2020-03-31,2020-06-22,2020-06-22,"Reopened","Q-02","Completely Locked",c(-73.9546701126456, 40.7433291540405),"Playground",11.8571428571429
"High Rock Plgd","233 St, Dereimer St & Baychester Ave","X046-CPA-0001","X046",2020-03-31,2020-06-21,2020-06-22,"Reopened","X-12","Not Lockable",c(-73.8408563095074, 40.8883910728544),"Playground",11.7142857142857
"Bergen Beach Playground","E. 71 St. between Ave. N and Ave. T","B353-CPA-0001","B353",2020-03-31,2020-06-22,2020-06-22,"Reopened","B-18","Completely Locked",c(-73.909682239046, 40.6222456152713),"Playground",11.8571428571429
"Pink Playground","Stanley Ave. and Eldert La.","B309-CPA-0001","B309",2020-03-31,2020-06-20,2020-06-22,"Reopened","B-05","Completely Locked",c(-73.8623873859568, 40.6666589766998),"Playground",11.5714285714286
"Mullaly Plgd (2)","Cromwell Ave & McClellan St","X034-CPA-0002","X034",2020-03-31,2020-06-21,2020-06-22,"Reopened","X-04","Completely Locked",c(-73.9233552343089, 40.8342762183861),"Playground",11.7142857142857
"Tanahey Playground","Cherry St. To Water St., W. Catherine Slip To Market Slip","M206-CPA-0001","M206",2020-03-31,2020-06-19,2020-06-19,"Reopened","M-03","Completely Locked",c(-73.9958918991965, 40.710108492953),"Playground",11.4285714285714
"Beach 17 Playground","Seagirt Blvd bet. B. 17 St. and B. 12 St.","Q162J-CPA-0001","Q162J",2020-03-31,2020-06-21,2020-06-21,"Reopened","Q-14","Completely Locked",c(-73.7498072391703, 40.5947157813927),"Playground",11.7142857142857
"Beach Channel Playground","B 80 St., B 79 St., Rockaway Beach Blvd., Beach Channel Dr.","Q403-CPA-0001","Q403",2020-03-31,2020-06-21,2020-06-21,"Reopened","Q-14","Completely Locked",c(-73.805473331651, 40.5889619932311),"Playground",11.7142857142857
"Mary Whalen Playground","79 St & Park Lane South","Q015-CPA-0007","Q015",2020-03-31,2020-06-19,2020-06-19,"Reopened","Q-16","Completely Locked",c(-73.8651209811654, 40.695693579292),"Playground",11.4285714285714
"Electric Playground","164 St. bet. 65 Ave. and 67 Ave.","Q342-CPA-0001","Q342",2020-03-31,2020-06-21,2020-06-22,"Reopened","Q-08","Completely Locked",c(-73.8054483779128, 40.7356177788517),"Playground",11.7142857142857
"Minetta Playground","Minetta Lane, W. 3 St. and Ave. of Americas","M125B-CPA-0001","M125B",2020-03-31,NA,2020-06-22,"Reopened","M-02","Completely Locked",c(-74.001269553391, 40.7307966565837),"Playground",NA
"Tremont Plgd (1)","E Tremont & Arthur Aves","X010A-CPA-0001","X010A",2020-03-31,2020-06-21,2020-06-22,"Reopened","X-06","Completely Locked",c(-73.8937323516478, 40.8461232325351),"Playground",11.7142857142857
"Tompkins Square Park","East 9 St & Ave A","M088-CPA-0001","M088",2020-03-31,2020-06-19,2020-06-19,"Reopened","M-03","Completely Locked",c(-73.9825482647356, 40.7267890861473),"Playground",11.4285714285714
"Old Town Playground","Parkinson Ave. at Kramer St.","R063-CPA-0001","R063",2020-03-31,2020-06-22,2020-06-22,"Reopened","R-02","Completely Locked",c(-74.0816226584262, 40.5956106719584),"Playground",11.8571428571429
"Hoyt Playground","Hoyt Ave. North bet. 29 St. and 31 St.","Q066F-CPA-0001","Q066F",2020-03-31,2020-06-22,2020-06-22,"Reopened","Q-01","Completely Locked",c(-73.9171429413383, 40.7718192943034),"Playground",11.8571428571429
"West Playground","Ave. Z between W. 1 St. and West St.","B252-CPA-0001","B252",2020-03-31,2020-06-22,2020-06-22,"Reopened","B-13","Completely Locked",c(-73.9701573712429, 40.5867381616476),"Playground",11.8571428571429
"Eastchester Playground","Adee Ave. at Tenboeck Ave.","X156-CPA-0001","X156",2020-03-31,2020-06-21,2020-06-22,"Reopened","X-11","Completely Locked",c(-73.8524539803417, 40.8697948716894),"Playground",11.7142857142857
"Lieutenant John H. Martinson Playground","Preston Ave. bet. Koch Blvd. and Osborne St.","R090-CPA-0001","R090",2020-03-31,2020-06-22,2020-06-23,"Reopened","R-03","Completely Locked",c(-74.1626192242578, 40.5369007884568),"Playground",11.8571428571429
"Morris Mesa","N/s Cross Bronx Exwy bet. Morris Av and Grand Concourse","X148D1-CPA-0001","X148D1",2020-03-31,2020-06-21,2020-06-22,"Reopened","X-05","Completely Locked",c(-73.9095785810279, 40.8453031678247),"Playground",11.7142857142857
"Dry Harbor Playground","80 St & Myrtle Ave","Q015-CPA-0005","Q015",2020-03-31,2020-06-19,2020-06-19,"Reopened","Q-16","Partially Locked",c(-73.8676332136418, 40.7024567992024),"Playground",11.4285714285714
"Sixteen Sycamores Playground","Schermerhorn St. bet. Nevins St. and 3 Ave.","B137-CPA-0001","B137",2020-03-31,2020-06-22,2020-06-22,"Reopened","B-02","Completely Locked",c(-73.9813065523997, 40.6868825928707),"Playground",11.8571428571429
"I Am Park",NA,NA,"X228",2020-03-31,2020-07-06,2020-07-06,"Reopened","X-01","Partially Locked",c(-73.9102541622555, 40.8113135661617),"Playground",13.8571428571429
"Happy Warrior Playground","W. 97 St. and Amsterdam Ave.","M229-CPA-0001","M229",2020-03-31,2020-06-21,2020-06-22,"Reopened","M-07","Completely Locked",c(-73.967996243766, 40.7955761913658),"Playground",11.7142857142857
"Bartlett Playground","Whipple St., Bartlett St., between Throop Ave. and Flushing Ave.","B286-CPA-0001","B286",2020-03-31,2020-06-21,2020-06-22,"Reopened","B-01","Completely Locked",c(-73.9462240269531, 40.7007573172686),"Playground",11.7142857142857
"Vidalia Park","E. 180 St. bet. Daly Ave. and Vyse Ave.","X266-CPA-0001","X266",2020-03-31,2020-06-21,2020-06-22,"Reopened","X-06","Completely Locked",c(-73.8815037145948, 40.8442519956568),"Playground",11.7142857142857
"Louis C. Moser Playground","25 Ave. bet. 76 St. and 77 St.","Q366-CPA-0001","Q366",2020-03-31,2020-06-23,2020-06-23,"Reopened","Q-03","Completely Locked",c(-73.8920636229262, 40.7627046381983),"Playground",12
"Weeksville Playground","Howard Ave. bet. Atlantic Ave. and  Herkimer St.","B093-CPA-0001","B093",2020-03-31,2020-06-22,2020-06-23,"Reopened","B-03","Completely Locked",c(-73.9195245998086, 40.6771758685341),"Playground",11.8571428571429
"Star Spangled Playground","Franklin Ave. between Willoughby Ave. and Dekalb Ave.","B266-CPA-0001","B266",2020-03-31,2020-06-22,2020-06-23,"Reopened","B-03","Completely Locked",c(-73.9576907996944, 40.6914327115607),"Playground",11.8571428571429
"Brighton Playground","Brighton 2 St. bet. Brightwater Ct. and Boardwalk E.","B169A-CPA-0001","B169A",2020-03-31,2020-06-22,2020-06-22,"Reopened","B-13","Completely Locked",c(-73.9651353173707, 40.5751621571332),"Playground",11.8571428571429
"Harvey Playground","20 Ave, Whitestone Exwy","Q089B-CPA-0001","Q089B",2020-03-31,2020-06-23,2020-06-23,"Reopened","Q-07","Partially Locked",c(-73.8237705724639, 40.7826381780715),"Playground",12
"Vanderbilt Playground","Prospect Pk S/W, Vanderbilt St","B073-CPA-0003","B073",2020-03-31,2020-06-22,2020-06-23,"Reopened","B-19","Completely Locked",c(-73.9729576446176, 40.6550493845689),"Playground",11.8571428571429
"Garden Playground","Flushing Ave. between Beaver St. and Garden St.","B340-CPA-0001","B340",2020-03-31,2020-06-22,2020-06-22,"Reopened","B-04","Completely Locked",c(-73.9385159792193, 40.7011066594373),"Playground",11.8571428571429
"Williamsbridge Oval","Reservoir Oval West","X104-CPA-0003","X104",2020-03-31,2020-06-21,2020-06-22,"Reopened","X-07","Completely Locked",c(-73.8771465765106, 40.8786063856381),"Playground",11.7142857142857
"Playground Eighty LXXX","80 Ave. bet. 261 St. and 262 St.","Q318-CPA-0001","Q318",2020-03-31,2020-06-23,2020-06-23,"Reopened","Q-13","Partially Locked",c(-73.7096130099618, 40.7449646754494),"Playground",12
"James J Walker Park","Hudson St, St Luke's Pl, Clarkson St, 7 Av","M038-CPA-0001","M038",2020-03-31,2020-06-21,2020-06-22,"Reopened","M-02","Partially Locked",c(-74.0057802867495, 40.7299604540393),"Playground",11.7142857142857
"White Park","High St., Lyman Ave., Bay St. and Summer St.","R012-CPA-0001","R012",2020-03-31,2020-06-22,2020-06-22,"Reopened","R-01","Completely Locked",c(-74.0629775197603, 40.607390220967),"Playground",11.8571428571429
"Twenty-Four Sycamores Park","FDR Dr., E. 60 St. To E. 61 St. and York Ave.","M108Q-CPA-0001","M108Q",2020-03-31,2020-06-21,2020-06-22,"Reopened","M-08","Completely Locked",c(-73.9588105016096, 40.7594022421817),"Playground",11.7142857142857
"Dimattina Playground","Hicks St. bet. Woodhull St. and Rapelye St.","B223B-CPA-0001","B223B",2020-03-31,2020-06-22,2020-06-22,"Reopened","B-06","Completely Locked",c(-74.0019586865852, 40.6806724089332),"Playground",11.8571428571429
"Wallenberg Plgd","W 189 St &  Amsterdam Ave","M037-CPA-0002","M037",2020-03-31,2020-06-21,2020-06-22,"Reopened","M-12A","Completely Locked",c(-73.9271717304328, 40.852672931484),"Playground",11.7142857142857
"Green Central Knoll","Flushing Ave., Central Ave., Noll St., Evergreen Ave.","B395-CPA-0001","B395",2020-03-31,2020-06-23,2020-06-24,"Reopened","B-04","Completely Locked",c(-73.9332102807522, 40.702490628509),"Playground",12
